dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
news,Time-MoE,0,SOL,all,2184,5,0.0004327673939565733,0.015754620731874534,1.5717746346030401
news,Time-MoE,0,SOL,all,2184,6,0.000537114268554009,0.017620434283984934,1.7576505806468192
news,Time-MoE,0,SOL,all,2184,7,0.0006393973544465669,0.019399404393698107,1.9349896433590836
news,Time-MoE,0,SOL,all,2184,8,0.0007394237962922633,0.021017975449447134,2.0966228243743164
news,Time-MoE,0,SOL,all,2184,9,0.000838302106255673,0.022549781849923886,2.249445742291108
news,Time-MoE,0,SOL,all,2184,10,0.000942528014865784,0.023920967753799156,2.3862175213143493
news,Time-MoE,0,SOL,all,2184,11,0.0010425923854545268,0.02517285342326338,2.5106820872322793
news,Time-MoE,0,SOL,all,2184,12,0.001138925428521662,0.02637328695825063,2.629979618704604
news,Time-MoE,0,SOL,all,2184,13,0.0012344676969354654,0.02747227010811634,2.7388889873341427
news,Time-MoE,0,SOL,all,2184,14,0.0013281318770981692,0.02857143334149603,2.8477865934207967
news,Time-MoE,0,SOL,all,2184,15,0.0014224058910508798,0.029623798716385888,2.9517233775701657
news,Time-MoE,0,SOL,all,2184,16,0.0015153171479446626,0.03065769245082154,3.0537854000675906
news,Time-MoE,0,SOL,all,2184,17,0.0016021266590910042,0.031563215763756675,3.142929911508868
news,Time-MoE,0,SOL,all,2184,18,0.0016865586231708367,0.0324059796783374,3.225886066044247
news,Time-MoE,0,SOL,all,2184,19,0.0017658132844354877,0.03326031239000165,3.309772218403485
news,Time-MoE,0,SOL,all,2184,20,0.0018426253959947048,0.03404584659526023,3.3864783675764922
news,Time-MoE,0,SOL,all,2184,21,0.0019131553312047482,0.034746200165137686,3.454725315477086
news,Time-MoE,0,SOL,all,2184,22,0.0019892210801066446,0.03546654542719602,3.525313602531249
news,Time-MoE,0,SOL,all,2184,23,0.002061155807423499,0.03617052056870617,3.593890276221831
news,Time-MoE,0,SOL,all,2184,24,0.0021309976072512796,0.03684533943645066,3.659558688278814
news,Time-MoE,0,SOL,event,1,1,1.0549747735148875e-05,0.0032480375205882206,0.3260843026043121
news,Time-MoE,0,SOL,event,1,2,3.6165647288801365e-06,0.0019017267755595535,0.1908193837357041
news,Time-MoE,0,SOL,event,1,3,5.0991936915314916e-05,0.007140863877383108,0.7205988742015883
news,Time-MoE,0,SOL,event,1,4,3.737383525475485e-05,0.006113414369626424,0.6166825467602864
news,Time-MoE,0,SOL,event,1,5,7.160384802071048e-05,0.008461905696751204,0.8564650168621808
news,Time-MoE,0,SOL,event,1,6,0.00011734877857809973,0.010832764124548255,1.099722856814087
news,Time-MoE,0,SOL,event,1,7,0.00015070089199261446,0.012276029162258228,1.2481491336061816
news,Time-MoE,0,SOL,event,1,8,0.00032105296234757874,0.01791795084119774,1.8326095636149915
news,Time-MoE,0,SOL,event,1,9,0.0002340217764881943,0.015297770311002656,1.560073800259098
news,Time-MoE,0,SOL,event,1,10,1.969326003253894e-05,0.00443770887199002,0.4475265568351461
news,Time-MoE,0,SOL,event,1,11,9.47120378704366e-05,0.009732010987994033,0.98630657646833
news,Time-MoE,0,SOL,event,1,12,5.629204817627872e-06,0.0023725945329170495,0.2385685063687728
news,Time-MoE,0,SOL,event,1,13,8.183634369337723e-06,0.0028607052223774687,0.2877111366053928
news,Time-MoE,0,SOL,event,1,14,1.147424148174696e-05,0.003387364976164653,0.3384451896905387
news,Time-MoE,0,SOL,event,1,15,8.22927681342312e-06,0.002868671611290341,0.2883563325705734
news,Time-MoE,0,SOL,event,1,16,2.2440162204308353e-05,0.004737104833578032,0.47699497183999795
news,Time-MoE,0,SOL,event,1,17,0.0002797002002980226,0.016724239901951377,1.704704148365269
news,Time-MoE,0,SOL,event,1,18,0.0001961572826448819,0.014005616110863595,1.423224172551486
news,Time-MoE,0,SOL,event,1,19,7.902984202399913e-05,0.008889873003817272,0.8985094022833802
news,Time-MoE,0,SOL,event,1,20,0.00025036492096087347,0.0158229239068155,1.6100959738547915
news,Time-MoE,0,SOL,event,1,21,0.000794784484209035,0.028191922321988527,2.9048259189814574
news,Time-MoE,0,SOL,event,1,22,0.0006846625245913599,0.026166056726059428,2.690121279136766
news,Time-MoE,0,SOL,event,1,23,0.000913829018242274,0.030229604996464543,3.12049159972945
news,Time-MoE,0,SOL,event,1,24,0.0005224437424777213,0.022857028294984483,2.341374877255009
news,Time-MoE,0,DOGE,all,2184,1,9.748745753972331e-05,0.007016967838318658,0.7012672522596987
news,Time-MoE,0,DOGE,all,2184,2,0.00021422541667903274,0.010555400898713534,1.0546708641540243
news,Time-MoE,0,DOGE,all,2184,3,0.00033698317918020313,0.01329905213653626,1.3283079498080168
news,Time-MoE,0,DOGE,all,2184,4,0.0004679922538965432,0.015832344037182144,1.5803299359368523
news,Time-MoE,0,DOGE,all,2184,5,0.0006097282936618484,0.018240384864202857,1.819914110693504
news,Time-MoE,0,DOGE,all,2184,6,0.0007509106738063016,0.02035587109373112,2.0296673576016477
news,Time-MoE,0,DOGE,all,2184,7,0.0008915225055733609,0.022307357461023553,2.2235925383854447
news,Time-MoE,0,DOGE,all,2184,8,0.0010314423536022703,0.02415464923705682,2.4070335117225836
news,Time-MoE,0,DOGE,all,2184,9,0.0011642423247661667,0.025809348263992563,2.5714751148716424
news,Time-MoE,0,DOGE,all,2184,10,0.0013063055370728998,0.02749831797972696,2.739844977052929
news,Time-MoE,0,DOGE,all,2184,11,0.0014472210911193936,0.02902536635186647,2.892177994413745
news,Time-MoE,0,DOGE,all,2184,12,0.0015842229020013605,0.03046026503529716,3.0348484007075345
news,Time-MoE,0,DOGE,all,2184,13,0.0017226413951212805,0.03180665374561431,3.168454786710276
news,Time-MoE,0,DOGE,all,2184,14,0.00185778533281609,0.03309171769779884,3.2957436467567613
